Geo Point,NAME,STUSAB,"STATE_NAME"
"35.8598655553, -92.1567129536",Stone,AR,"Arkansas"
"39.580876381, -118.335778874",Churchill,NV,"Nevada"
"41.4353818043, -72.5231194296",Middlesex,CT,"Connecticut"
"39.7847564917, -100.459899544",Decatur,KS,"Kansas"
"39.6203734727, -81.8526618984",Morgan,OH,"Ohio"
"38.4561871377, -96.1526397502",Lyon,KS,"Kansas"
"35.4855950234, -81.2235326264",Lincoln,NC,"North Carolina"
"32.1217203314, -82.3312929099",Toombs,GA,"Georgia"
"40.3469033297, -87.3533144839",Warren,IN,"Indiana"
"29.7258227162, -82.8003665306",Gilchrist,FL,"Florida"
"36.6953299477, -77.5356107293",Emporia,VA,"Virginia"
"38.3642764332, -86.8798021177",Dubois,IN,"Indiana"
"35.0483629463, -96.2501879728",Hughes,OK,"Oklahoma"
"48.2279328059, -112.226687932",Pondera,MT,"Montana"
"36.628673995, -94.3483586551",McDonald,MO,"Missouri"
"29.3502075785, -100.417946618",Kinney,TX,"Texas"
"32.6016373737, -92.6648152839",Lincoln,LA,"Louisiana"
"35.4050346181, -102.602870603",Oldham,TX,"Texas"
"26.9564459351, -81.1890293853",Glades,FL,"Florida"
"38.2462130511, -78.0136665279",Orange,VA,"Virginia"
"34.3669621021, -86.306636969",Marshall,AL,"Alabama"
"40.597165174, -88.2232738465",Ford,IL,"Illinois"
"38.297620662, -78.4668692674",Greene,VA,"Virginia"
"13.4427595479, 144.769451697",Guam,GU,"Guam"
"40.2938389348, -81.0911358771",Harrison,OH,"Ohio"
"28.9057389627, -97.8594018287",Karnes,TX,"Texas"
"39.6441138538, -90.474747165",Scott,IL,"Illinois"
"43.560975208, -73.8460059552",Warren,NY,"New York"
"45.8991791693, -91.7912346303",Washburn,WI,"Wisconsin"
"31.5291972743, -84.6245076946",Calhoun,GA,"Georgia"
"27.4267108244, -97.6683877685",Kleberg,TX,"Texas"
"40.4162956557, -75.9259989042",Berks,PA,"Pennsylvania"
"42.3706766098, -73.2064122879",Berkshire,MA,"Massachusetts"
"35.3341018022, -81.5555471412",Cleveland,NC,"North Carolina"
"41.6848582046, -94.0397619265",Dallas,IA,"Iowa"
"36.3965102811, -78.1067171324",Warren,NC,"North Carolina"
"33.9879970441, -98.7035507511",Wichita,TX,"Texas"
"35.151021226, -76.6694598427",Pamlico,NC,"North Carolina"
"37.872051318, -84.5809372528",Jessamine,KY,"Kentucky"
"35.2021508952, -87.0347773688",Giles,TN,"Tennessee"
"37.2372753377, -97.4765502094",Sumner,KS,"Kansas"
"34.6463905658, -83.747108233",White,GA,"Georgia"
"31.6767316888, -92.1604365033",LaSalle,LA,"Louisiana"
"41.6715248584, -91.5881018852",Johnson,IA,"Iowa"
"64.8077661564, -146.565422856",Fairbanks North Star,AK,"Alaska"
"18.2683832042, -65.5592543864",Ceiba,PR,"Puerto Rico"
"34.0244909939, -79.7029792115",Florence,SC,"South Carolina"
"45.2732429118, -93.2464685787",Anoka,MN,"Minnesota"
"38.3694102763, -75.6315310797",Wicomico,MD,"Maryland"
"40.5548298977, -104.392531357",Weld,CO,"Colorado"
"40.5310649083, -77.4021626656",Juniata,PA,"Pennsylvania"
"43.6407681919, -85.3246335487",Mecosta,MI,"Michigan"
"34.5292014575, -100.207574947",Childress,TX,"Texas"
"36.9935767676, -86.4237993498",Warren,KY,"Kentucky"
"40.7476890807, -92.4097172922",Davis,IA,"Iowa"
"29.2822055783, -82.7886132018",Levy,FL,"Florida"
"37.8246250522, -92.2076625405",Pulaski,MO,"Missouri"
"41.9127594294, -99.9768991117",Blaine,NE,"Nebraska"
"32.7428202205, -100.402168105",Fisher,TX,"Texas"
"31.5492717947, -82.8492009827",Coffee,GA,"Georgia"
"42.3838803185, -93.2404024994",Hardin,IA,"Iowa"
"33.7722424167, -81.9664425704",Edgefield,SC,"South Carolina"
"42.9845979293, -71.0890593426",Rockingham,NH,"New Hampshire"
"31.3942193486, -94.1681932369",San Augustine,TX,"Texas"
"41.244097338, -85.8607176828",Kosciusko,IN,"Indiana"
"30.3323725105, -94.3902216019",Hardin,TX,"Texas"
"42.781081385, -76.8237785954",Seneca,NY,"New York"
"38.6807283768, -79.350893592",Pendleton,WV,"West Virginia"
"45.4052565917, -120.689371728",Sherman,OR,"Oregon"
"37.31730701, -91.9650546828",Texas,MO,"Missouri"
"34.7699753373, -92.3119257562",Pulaski,AR,"Arkansas"
